Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,obs_record1,obs_record2,obs_record3,obs_record4,obs_record5
Celmisia spectabilis,9.98333,9,8.05695,19.7,3.7,1448.5,277,FALSE,GBIF_CURRENT=2791,,PLANTSEARCH=12,,
Cenchrus alopecuroides,9.98333,9,13.8681,28.7,6.14584,999,126,FALSE,GBIF_CURRENT=7134,,PLANTSEARCH=4,,
Centaurea nervosa,9.98333,9,4.99861,19.65,-1.89167,1128.5,219.5,FALSE,GBIF_CURRENT=257,,PLANTSEARCH=13,,
Cephalaria gigantea,9.98333,9,7.58611,22.2,0.1,752,140.5,FALSE,GBIF_CURRENT=925,,PLANTSEARCH=113,,
Cephalaria transsylvanica,9.98333,9,11.9194,25.6,4,688.75,124.75,FALSE,GBIF_CURRENT=1125,,PLANTSEARCH=6,,
Cephalotaxus harringtonia,9.98333,9,12.2035,27.85,2.91667,1209.75,162.75,FALSE,GBIF_CURRENT=79,,PLANTSEARCH=94,,
Ceratostigma plumbaginoides,9.98333,9,11.4028,26.175,3.75,827.75,152.75,FALSE,GBIF_CURRENT=9477,,PLANTSEARCH=15,,
Chaenorhinum glareosum,9.98333,9,5.83612,25.475,-1.70833,807,88.5,FALSE,GBIF_CURRENT=54,,PLANTSEARCH=12,,
Chamaedaphne calyculata,9.98333,9,6.21111,24.125,-3.8875,825,145.5,FALSE,GBIF_CURRENT=9592,,PLANTSEARCH=77,,
Chamaemelum nobile,9.98333,9,11.2861,24.875,4.39583,810.5,146.25,FALSE,GBIF_CURRENT=526,,PLANTSEARCH=98,,
Chamaemespilus alpina,9.98333,9,6.31736,20.425,0.624999,1106.25,217.75,FALSE,GBIF_CURRENT=3687,,PLANTSEARCH=6,,
Chascolytrum subaristatum,9.98333,9,15.4208,26.175,8.3875,860.25,131.75,FALSE,GBIF_CURRENT=218,,PLANTSEARCH=6,,
Chasmanthium latifolium,9.98333,9,15.2389,31.2,4.49166,977,176,FALSE,GBIF_CURRENT=9886,,PLANTSEARCH=127,,
Chelone glabra,9.98333,9,8.06806,27.225,-2.62083,986.5,188.75,FALSE,GBIF_CURRENT=975,,PLANTSEARCH=88,,
Chimonobambusa tumidissinoda,9.98333,9,14.0972,25.775,5.99167,926.75,95.25,FALSE,GBIF_CURRENT=8,,PLANTSEARCH=2,,
Chionochloa flavicans,9.98333,9,12.3972,22.55,7.64167,1079,202.75,FALSE,GBIF_CURRENT=74,,PLANTSEARCH=19,,
Chrysanthemum zawadzkii,9.98333,9,2.77222,24.95,-8.75833,677,71,FALSE,PLANTSEARCH=14,GBIF_CURRENT=2968,,,
Chrysocoma ciliata,9.98333,9,14.4931,28.6,8.85,602,83.5,FALSE,GBIF_CURRENT=125,,PLANTSEARCH=5,,
Chrysogonum virginianum,9.98333,9,13.675,30.2,3.61667,1092.75,227.25,FALSE,GBIF_CURRENT=268,,PLANTSEARCH=59,,
Chrysopogon gryllus,9.98333,9,12.0972,26.15,3.89583,706.5,129.5,FALSE,GBIF_CURRENT=917,,PLANTSEARCH=21,,
Chrysosplenium davidianum,9.98333,9,13.1722,24.75,5.3125,923.75,106.5,FALSE,GBIF_CURRENT=85,,PLANTSEARCH=2,,
Chrysosplenium macrophyllum,9.98333,9,14.3208,27.3,4.875,1092.5,122.25,FALSE,GBIF_CURRENT=119,,PLANTSEARCH=3,,
Chusquea montana,9.98333,9,8.29584,20.5,4.1,1361,175.5,FALSE,GBIF_CURRENT=39,,PLANTSEARCH=8,,
Circaea alpina,9.98333,9,6.87083,22.9,-0.541668,844.5,127,FALSE,GBIF_CURRENT=929,,PLANTSEARCH=23,,
Cistus albidus,9.98333,9,13.5167,26.8,6.54167,682.5,110,FALSE,GBIF_CURRENT=9747,,PLANTSEARCH=86,,
Cistus populifolius,9.98333,9,14.4042,26.875,7.91667,764.5,69.5,FALSE,GBIF_CURRENT=8416,,PLANTSEARCH=32,,
Clarkia purpurea,9.98333,9,13.7576,27.7,6.52083,631,61.75,FALSE,GBIF_CURRENT=691,,PLANTSEARCH=12,,
Claytonia caroliniana,9.98333,9,7.70208,26.925,-3.1375,1111.25,229.75,FALSE,GBIF_CURRENT=7857,,PLANTSEARCH=12,,
Claytosmunda claytoniana,9.98333,9,8.47223,27.75,-1.80833,1054,206.5,FALSE,GBIF_CURRENT=9811,,PLANTSEARCH=5,,
Clematis armandii,9.98333,9,14.3653,26.4,5.79583,984.5,126,FALSE,GBIF_CURRENT=5,,PLANTSEARCH=55,,
Clematis cirrhosa,9.98333,9,15.2195,27.55,7.88333,653.5,74,FALSE,GBIF_CURRENT=3469,,PLANTSEARCH=5,,
Clematis hexapetala,9.98333,9,5.85833,25.7,-7.29167,628.5,62.5,FALSE,GBIF_CURRENT=561,,PLANTSEARCH=37,,
Clematis hirsutissima,9.98333,9,6.68056,25.1,-1.44167,640,105,FALSE,GBIF_CURRENT=194,,PLANTSEARCH=26,,
Clematis koreana,9.98333,9,7.33403,23.175,-2.525,1040.25,114.5,FALSE,GBIF_CURRENT=186,,PLANTSEARCH=3,,
Clematis occidentalis,9.98333,9,5.80972,25.25,-2.94167,700,121.25,FALSE,GBIF_CURRENT=397,,PLANTSEARCH=14,,
Clematis ochroleuca,9.98333,9,12.6569,29.25,2.425,1141.5,222,FALSE,GBIF_CURRENT=241,,PLANTSEARCH=23,,
Clematis terniflora,9.98333,9,12.3556,29.475,2.0625,1040.75,192.75,FALSE,GBIF_CURRENT=8354,,PLANTSEARCH=88,,
Clematis viorna,9.98333,9,12.3681,29.65,1.64167,1115.5,234.5,FALSE,GBIF_CURRENT=689,,PLANTSEARCH=31,,
Clinopodium alpinum,9.98333,9,6.43889,20.5,0.958335,975,188.5,FALSE,GBIF_CURRENT=5686,,PLANTSEARCH=9,,
Clinopodium grandiflorum,9.98333,9,7.775,21.8,0.900002,986,172.5,FALSE,GBIF_CURRENT=38,,PLANTSEARCH=9,,
Clinopodium nepeta,9.98333,9,12.5257,26.25,5.40833,775,124.5,FALSE,GBIF_CURRENT=799,,PLANTSEARCH=3,,
Colchicum cilicicum,9.98333,9,8.68958,22.35,1.53333,671.5,126.75,FALSE,GBIF_CURRENT=25,,PLANTSEARCH=43,,
Colchicum parnassicum,9.98333,9,7.58472,22.1,1.80417,790.25,115.75,FALSE,GBIF_CURRENT=12,,PLANTSEARCH=13,,
Colchicum soboliferum,9.98333,9,11.3625,25.8,3.09167,575.5,108.5,FALSE,GBIF_CURRENT=8,,PLANTSEARCH=11,,
Colchicum speciosum,9.98333,9,7.90903,22.45,0.525,694.25,124,FALSE,GBIF_CURRENT=282,,PLANTSEARCH=86,,
Colquhounia coccinea,9.98333,9,12.5542,23.75,5.76667,956.5,90.5,FALSE,GBIF_CURRENT=113,,PLANTSEARCH=32,,
Colutea istria,9.98333,9,15.4945,27.475,7.09583,447.25,59,FALSE,GBIF_CURRENT=88,,PLANTSEARCH=17,,
Comarum palustre,9.98333,9,7.01528,21.95,-1.37083,758.5,127,FALSE,GBIF_CURRENT=74,,PLANTSEARCH=34,,
Comptonia peregrina,9.98333,9,8.3264,27.65,-2.04167,1083,230,FALSE,GBIF_CURRENT=9815,,PLANTSEARCH=8,,
Conandron ramondioides,9.98333,9,12.4764,26.15,3.58333,1281.5,161.5,FALSE,GBIF_CURRENT=712,,PLANTSEARCH=7,,
Convallaria majalis,9.98333,9,7.88611,23.8,-0.308334,756.25,134.5,FALSE,GBIF_CURRENT=8498,,PLANTSEARCH=29,,
Coprosma acerosa,9.98333,9,12.6083,23.1,7.47083,912.75,174,FALSE,GBIF_CURRENT=1597,,PLANTSEARCH=16,,
Coprosma atropurpurea,9.98333,9,8.26388,19.925,3.54583,1432.5,256.5,FALSE,GBIF_CURRENT=244,,PLANTSEARCH=11,,
Coprosma depressa,9.98333,9,8.42501,19.65,3.70833,1821.5,334,FALSE,GBIF_CURRENT=171,,PLANTSEARCH=6,,
Coprosma nitida,9.98333,9,8.47292,19.95,4.35417,1085.75,197.25,FALSE,GBIF_CURRENT=1826,,PLANTSEARCH=9,,
Coprosma petriei,9.98333,9,9.01805,21.6,3.51667,1031,199,FALSE,GBIF_CURRENT=493,,PLANTSEARCH=28,,
Cornus alba,9.98333,9,6.7743,23.525,-2.525,727.25,125,FALSE,GBIF_CURRENT=7912,,PLANTSEARCH=114,,
Cornus canadensis,9.98333,9,6.22014,23.625,-3.27084,937.75,177.25,FALSE,GBIF_CURRENT=9764,,PLANTSEARCH=98,,
Cornus unalaschkensis,9.98333,9,8.2625,24.85,1.61667,1516.5,205.5,FALSE,GBIF_CURRENT=6124,,PLANTSEARCH=6,,
Cortaderia selloana,9.98333,9,13.725,25.75,7.23333,806.5,127.5,FALSE,GBIF_CURRENT=8926,,PLANTSEARCH=97,,
Corydalis omeiana,9.98333,9,13.6889,24.725,4.22917,1025,102,FALSE,GBIF_CURRENT=11,,PLANTSEARCH=7,,
Corydalis solida,9.98333,9,8.74167,23.05,0.941668,732.5,133.5,FALSE,GBIF_CURRENT=612,,PLANTSEARCH=83,,
Corylopsis glandulifera,9.98333,9,15.2903,29.45,4.825,1298,166,FALSE,GBIF_CURRENT=56,,PLANTSEARCH=18,,
Corylopsis spicata,9.98333,9,12.3382,27.3,3.25417,1019.5,174.25,FALSE,GBIF_CURRENT=67,,PLANTSEARCH=151,,
Coryphantha macromeris,9.98333,9,15.6875,32.65,5.55417,458.5,66.5,FALSE,GBIF_CURRENT=883,,PLANTSEARCH=24,,
Coryphantha robustispina,9.98333,9,15.384,30.775,7.90834,509,56,FALSE,GBIF_CURRENT=28,,PLANTSEARCH=6,,
Cotoneaster acutifolius,9.98333,9,6.90347,23.25,-1.40417,722.5,127.75,FALSE,GBIF_CURRENT=8612,,PLANTSEARCH=5,,
Cotoneaster ambiguus,9.98333,9,8.4389,22.95,1,749,132,FALSE,GBIF_CURRENT=633,,PLANTSEARCH=26,,
Cotoneaster hedegaardii,9.98333,9,10.1375,22.05,4.20833,811.5,161,FALSE,PLANTSEARCH=2,,,,
Cotoneaster integerrimus,9.98333,9,7.37917,22.35,-0.116667,753.5,135.5,FALSE,GBIF_CURRENT=665,,PLANTSEARCH=88,,
Cotoneaster konishii,9.98333,9,8.27639,17.3,3.75833,2466,211.75,FALSE,GBIF_CURRENT=6,,PLANTSEARCH=6,,
Cotoneaster nanshan,9.98333,9,7.85139,22.975,0.895832,757.5,137,FALSE,GBIF_CURRENT=14,,PLANTSEARCH=22,,
Cotoneaster rhytidophyllus,9.98333,9,12.6083,25.25,3.85833,921.5,84,FALSE,GBIF_CURRENT=46,,PLANTSEARCH=8,,
Cotula lineariloba,9.98333,9,12.0056,24.4,5.8125,652.5,89,FALSE,GBIF_CURRENT=21,,PLANTSEARCH=4,,
Crassula sarcocaulis,9.98333,9,13.5188,23.425,7.4875,779,90.5,FALSE,GBIF_CURRENT=39,,PLANTSEARCH=28,,
Crinum bulbispermum,9.98333,9,15.4958,26.9,7.96667,784.25,87.25,FALSE,GBIF_CURRENT=358,,PLANTSEARCH=67,,
Crocus pulchellus,9.98333,9,12.1806,24.925,4.1375,711,117.5,FALSE,GBIF_CURRENT=166,,PLANTSEARCH=45,,
Crocus xantholaimos,9.98333,9,9.37916,22.05,2.89167,614,121,FALSE,GBIF_CURRENT=2,PLANTSEARCH=2,,,
Cryptogramma acrostichoides,9.98333,9,6.6132,23.05,0.808333,977.5,132.75,FALSE,GBIF_CURRENT=514,,PLANTSEARCH=13,,
Cryptotaenia japonica,9.98333,9,13.2104,26.825,4.20833,1161,138.75,FALSE,GBIF_CURRENT=238,,PLANTSEARCH=3,,
Cyclamen purpurascens,9.98333,9,8.88889,23.55,0.608335,953.5,173,FALSE,GBIF_CURRENT=632,,PLANTSEARCH=79,,
Cyclamen repandum,9.98333,9,12.2097,24.3,5.27083,788.75,115.25,FALSE,GBIF_CURRENT=4558,,PLANTSEARCH=34,,
Cylindropuntia kleiniae,9.98333,9,17.2917,29.675,9.27083,554.75,70.75,FALSE,GBIF_CURRENT=544,,PLANTSEARCH=37,,
Cynara cardunculus,9.98333,9,13.9826,26.6,7.59167,661,103.5,FALSE,GBIF_CURRENT=9114,,PLANTSEARCH=16,,
Cypripedium formosanum,9.98333,9,12.859,22.55,6.5,1757.75,203.25,FALSE,GBIF_CURRENT=37,,PLANTSEARCH=19,,
Cypripedium parviflorum,9.98333,9,7.24792,24.55,-2.81667,860.25,163.75,FALSE,GBIF_CURRENT=7786,,PLANTSEARCH=22,,
Cyrtomium falcatum,9.98333,9,15.1028,27.1,8.18334,1088,162.5,FALSE,GBIF_CURRENT=648,,PLANTSEARCH=16,,
Cyrtomium fortunei,9.98333,9,12.3181,27.1,3.49167,1207.5,166,FALSE,GBIF_CURRENT=4724,,PLANTSEARCH=95,,
Cystopteris bulbifera,9.98333,9,8.03056,26.65,-2.725,905,172.5,FALSE,GBIF_CURRENT=3985,,PLANTSEARCH=72,,
Cystopteris dickieana,9.98333,9,3.34166,21.6,-4.2375,632.25,106.5,FALSE,GBIF_CURRENT=29,,PLANTSEARCH=24,,
Cytisus nigricans,9.98333,9,8.43194,23.1,0.325,759.5,147.25,FALSE,GBIF_CURRENT=436,,PLANTSEARCH=32,,
Dahlia imperialis,9.98333,9,15.3583,25.075,10.5167,1158.75,102.5,FALSE,GBIF_CURRENT=251,,PLANTSEARCH=64,,
Danthonia intermedia,9.98333,9,5.18194,23.8,-2.275,791.25,148.25,FALSE,GBIF_CURRENT=149,,PLANTSEARCH=5,,
Daphne arbuscula,9.98333,9,7.83194,22.55,-0.333333,720.75,119.5,FALSE,GBIF_CURRENT=9,,PLANTSEARCH=33,,
Daphne blagayana,9.98333,9,7.91806,22.225,-0.0375,958,185,FALSE,GBIF_CURRENT=73,,PLANTSEARCH=26,,
Daphne cneorum,9.98333,9,7.97917,23,0.0333332,941.5,169.5,FALSE,GBIF_CURRENT=4684,,PLANTSEARCH=59,,
Daphne domini,9.98333,9,7.80417,23.6,-3.6,850,113,FALSE,GBIF_CURRENT=1,PLANTSEARCH=1,,,
Daphne mezereum,9.98333,9,7.57361,22.55,-0.120833,790.5,144.25,FALSE,GBIF_CURRENT=8847,,PLANTSEARCH=137,,
Daphne sericea,9.98333,9,13.1222,25.45,5.175,793,96,FALSE,GBIF_CURRENT=251,,PLANTSEARCH=18,,
Dasiphora davurica,9.98333,9,6.75833,23.55,-2.82917,612.25,63,FALSE,GBIF_CURRENT=457,,PLANTSEARCH=8,,
Dasiphora fruticosa,9.98333,9,7.40903,23.45,-0.791666,707.75,121.75,FALSE,GBIF_CURRENT=972,,PLANTSEARCH=34,,
Dasylirion texanum,9.98333,9,17.3083,31,7.57083,772.75,132.75,FALSE,GBIF_CURRENT=1483,,PLANTSEARCH=37,,
Decaisnea insignis,9.98333,9,12.7319,25.225,4.4875,964,102.5,FALSE,GBIF_CURRENT=368,,PLANTSEARCH=48,,
Delosperma ashtonii,9.98333,9,13.2785,24.475,6.80834,742,90,FALSE,GBIF_CURRENT=27,,PLANTSEARCH=22,,
Delosperma crassum,9.98333,9,15.9458,27.125,9.81666,457.75,76.75,FALSE,GBIF_CURRENT=3,,PLANTSEARCH=8,,
Delosperma esterhuyseniae,9.98333,9,13.2403,25.4,7.18333,525.5,69.5,FALSE,GBIF_CURRENT=31,,PLANTSEARCH=7,,
Delosperma lavisiae,9.98333,9,12.1819,23.85,5.97083,772.25,86.75,FALSE,GBIF_CURRENT=48,,PLANTSEARCH=15,,
Deschampsia cespitosa,9.98333,9,8.52501,22.525,1.54167,755.25,135.25,FALSE,GBIF_CURRENT=992,,PLANTSEARCH=99,,
Desmanthus illinoensis,9.98333,9,14.0778,31.2,2.94167,887,146.5,FALSE,GBIF_CURRENT=6636,,PLANTSEARCH=27,,
Deutzia discolor,9.98333,9,12.6083,26.15,3.44167,824,92.5,FALSE,GBIF_CURRENT=13,,PLANTSEARCH=35,,
Deutzia setchuenensis,9.98333,9,14.6785,27.775,5.74583,1005.25,104.25,FALSE,GBIF_CURRENT=178,,PLANTSEARCH=19,,
Dianthus acicularis,9.98333,9,4.2875,23.6,-6.6,586.5,104.5,FALSE,GBIF_CURRENT=46,,PLANTSEARCH=16,,
Dianthus alpinus,9.98333,9,4.85417,19.7,-1.91667,1144.5,209.5,FALSE,GBIF_CURRENT=399,,PLANTSEARCH=56,,
Dianthus basuticus,9.98333,9,12.5993,23.75,6.09167,738.25,97,FALSE,GBIF_CURRENT=229,,PLANTSEARCH=11,,
Dianthus callizonus,9.98333,9,4.61389,20.1,-2.125,829.75,135,FALSE,GBIF_CURRENT=21,,PLANTSEARCH=21,,
Dianthus freynii,9.98333,9,5.69097,20.7,-1.15833,996.25,192.75,FALSE,GBIF_CURRENT=9,,PLANTSEARCH=21,,
Dianthus gratianopolitanus,9.98333,9,8.42778,22.65,0.958335,901,179,FALSE,GBIF_CURRENT=146,,PLANTSEARCH=19,,
Dianthus microlepis,9.98333,9,3.84722,19.425,-3.19167,770,139.5,FALSE,GBIF_CURRENT=48,,PLANTSEARCH=3,,
Dianthus pavonius,9.98333,9,4.79583,19.95,-1.51667,964,171.5,FALSE,GBIF_CURRENT=1831,,PLANTSEARCH=42,,
Dianthus petraeus,9.98333,9,8.37083,23.05,0.441668,848,146.5,FALSE,GBIF_CURRENT=8,,PLANTSEARCH=43,,
Dianthus simulans,9.98333,9,9.75833,24.1,0.483333,933,162,FALSE,GBIF_CURRENT=1,PLANTSEARCH=18,,,
Dianthus squarrosus,9.98333,9,8.27778,25.25,-2.59167,633,119.25,FALSE,GBIF_CURRENT=87,,PLANTSEARCH=2,,
Dianthus sternbergii,9.98333,9,5.37361,19.85,-1.85,1225,223,FALSE,GBIF_CURRENT=18,,PLANTSEARCH=26,,
Dianthus sylvestris,9.98333,9,7.74167,22.9,0.708335,955,186.5,FALSE,GBIF_CURRENT=366,,PLANTSEARCH=53,,
Diarrhena americana,9.98333,9,11.5931,29.15,0.8,1023.5,190.5,FALSE,GBIF_CURRENT=189,,PLANTSEARCH=29,,
Dierama erectum,9.98333,9,13.4347,23,8.23334,826.5,87,FALSE,GBIF_CURRENT=16,,PLANTSEARCH=8,,
Dierama igneum,9.98333,9,15.6597,24.5,10.075,871.25,114.5,FALSE,GBIF_CURRENT=95,,PLANTSEARCH=26,,
Dierama jucundum,9.98333,9,13.5583,26.45,6.6,728.5,97,FALSE,GBIF_CURRENT=2,,PLANTSEARCH=14,,
Dierama latifolium,9.98333,9,13.5153,23.55,7.39166,825.75,92,FALSE,GBIF_CURRENT=42,,PLANTSEARCH=1,,
Dierama pauciflorum,9.98333,9,12.575,22.8,6.625,842.5,99.5,FALSE,GBIF_CURRENT=26,,PLANTSEARCH=12,,
Dierama reynoldsii,9.98333,9,14.0306,23.6,8.61667,837,99.5,FALSE,GBIF_CURRENT=49,,PLANTSEARCH=16,,
Dierama trichorhizum,9.98333,9,13.2236,23.65,7.05417,799.25,87.25,FALSE,GBIF_CURRENT=33,,PLANTSEARCH=17,,
Diervilla lonicera,9.98333,9,6.76111,25.7,-4.05833,909.5,171.5,FALSE,GBIF_CURRENT=871,,PLANTSEARCH=116,,
Diervilla rivularis,9.98333,9,12.5486,27,2.625,1122,221.5,FALSE,GBIF_CURRENT=75,,PLANTSEARCH=54,,
Digitalis grandiflora,9.98333,9,7.13472,22.8,-0.374998,963.75,177,FALSE,GBIF_CURRENT=8376,,PLANTSEARCH=152,,
Digitalis obscura,9.98333,9,12.1153,27.75,4.13333,599,99,FALSE,GBIF_CURRENT=4282,,PLANTSEARCH=48,,
Disporopsis pernyi,9.98333,9,14.1451,26.05,6.03333,1246.5,152.75,FALSE,GBIF_CURRENT=19,,PLANTSEARCH=66,,
Disporum cantoniense,9.98333,9,14.9576,26.575,7.03333,1169.25,116.5,FALSE,GBIF_CURRENT=63,,PLANTSEARCH=35,,
Disporum longistylum,9.98333,9,14.1125,26.3,5.79167,1026.5,95.5,FALSE,GBIF_CURRENT=26,,PLANTSEARCH=9,,
Disporum megalanthum,9.98333,9,13.1847,25.85,4.1125,1003,104.75,FALSE,GBIF_CURRENT=74,,PLANTSEARCH=11,,
Dodecatheon dentatum,9.98333,9,7.47778,24.1,-2.28333,798.5,116.75,FALSE,GBIF_CURRENT=25,,PLANTSEARCH=23,,
Dodecatheon hendersonii,9.98333,9,12.4,26.35,4.7625,762.75,68,FALSE,GBIF_CURRENT=7683,,PLANTSEARCH=23,,
Dodecatheon jeffreyanum,9.98333,9,8.02362,25.85,2.625,1002,106,FALSE,GBIF_CURRENT=1628,,PLANTSEARCH=1,,
Dodecatheon pulchellum,9.98333,9,6.98472,24,-0.595832,647.5,111,FALSE,GBIF_CURRENT=5269,,PLANTSEARCH=43,,
Doellingeria umbellata,9.98333,9,7.05278,24.95,-3.51667,972,183,FALSE,GBIF_CURRENT=8412,,PLANTSEARCH=41,,
Doronicum orientale,9.98333,9,7.60278,22.3,0.0458326,662.5,117,FALSE,GBIF_CURRENT=2288,,PLANTSEARCH=61,,
Draba aizoides,9.98333,9,5.90972,20.65,-0.9875,1064.5,202,FALSE,GBIF_CURRENT=4253,,PLANTSEARCH=65,,
Draba bruniifolia,9.98333,9,4.91667,21.275,-3.35,692.5,109.25,FALSE,GBIF_CURRENT=84,,PLANTSEARCH=28,,
Draba rigida,9.98333,9,3.50972,19.3,-3.08333,859.25,163.5,FALSE,GBIF_CURRENT=151,,PLANTSEARCH=22,,
Draba sakuraii,9.98333,9,6.40972,22.85,-2.54167,1285.5,151,FALSE,GBIF_CURRENT=34,,PLANTSEARCH=1,,
Dracunculus vulgaris,9.98333,9,13.1181,26.55,5.89167,728.75,107.75,FALSE,GBIF_CURRENT=2637,,PLANTSEARCH=11,,
Dryas integrifolia,9.98333,9,-1.92639,19.3,0.845834,518,92.25,FALSE,GBIF_CURRENT=274,,PLANTSEARCH=11,,
Dryas octopetala,9.98333,9,4.14028,19.2,-1.90833,918.75,162.25,FALSE,GBIF_CURRENT=91,,PLANTSEARCH=111,,
Dryopteris carthusiana,9.98333,9,7.86944,23.25,-0.983333,745.5,133.5,FALSE,GBIF_CURRENT=952,,PLANTSEARCH=98,,
Dryopteris clintoniana,9.98333,9,8.14027,25.85,-1.975,1027,192,FALSE,GBIF_CURRENT=597,,PLANTSEARCH=32,,
Dryopteris cristata,9.98333,9,7.43056,24.05,-1.69167,811.5,148,FALSE,GBIF_CURRENT=4755,,PLANTSEARCH=58,,
Dryopteris erythrosora,9.98333,9,13.2319,28.1,4.29167,1240,186,FALSE,GBIF_CURRENT=4886,,PLANTSEARCH=128,,
Dryopteris expansa,9.98333,9,6.76111,22.35,-0.524998,853.5,136.5,FALSE,GBIF_CURRENT=9539,,PLANTSEARCH=45,,
Dryopteris filix-mas,9.98333,9,8.34861,23,1.01667,766.5,143.5,FALSE,GBIF_CURRENT=7629,,PLANTSEARCH=148,,
Dryopteris goldieana,9.98333,9,8.12083,25.475,-1.30416,1006.75,198.25,FALSE,GBIF_CURRENT=138,,PLANTSEARCH=14,,
Dryopteris intermedia,9.98333,9,8.17916,27.5,-2.45,1063,213.5,FALSE,GBIF_CURRENT=984,,PLANTSEARCH=44,,
Dryopteris juxtaposita,9.98333,9,13.4396,25.8,7.40417,823.25,61.25,FALSE,GBIF_CURRENT=71,,PLANTSEARCH=7,,
Dryopteris nigropaleacea,9.98333,9,16.2347,29.2,6.80417,1053,134,FALSE,GBIF_CURRENT=5,,PLANTSEARCH=8,,
Dryopteris sieboldii,9.98333,9,13.7708,26.975,4.9625,1460.5,188.25,FALSE,GBIF_CURRENT=373,,PLANTSEARCH=64,,
Dryopteris stewartii,9.98333,9,12.5986,25.8,4.12083,794,120.25,FALSE,GBIF_CURRENT=41,,PLANTSEARCH=26,,
Dudleya cymosa,9.98333,9,14.5521,28.775,8.82917,625.5,10.5,FALSE,GBIF_CURRENT=4555,,PLANTSEARCH=19,,
Dysosma delavayi,9.98333,9,13.3507,24.7,4.78333,1012.5,79.5,FALSE,GBIF_CURRENT=3,,PLANTSEARCH=4,,
Dysosma pleiantha,9.98333,9,15.1028,26.65,7.56667,1774,180,FALSE,GBIF_CURRENT=338,,PLANTSEARCH=13,,
Ebracteola fulleri,9.98333,9,16.2611,29.325,8.76667,364.75,53.5,FALSE,GBIF_CURRENT=12,,PLANTSEARCH=7,,
Echinocereus coccineus,9.98333,9,13.966,29.925,4.675,578.75,81,FALSE,GBIF_CURRENT=7334,,PLANTSEARCH=44,,
Echinocereus reichenbachii,9.98333,9,16.6833,31.7,6.64166,764,121.5,FALSE,GBIF_CURRENT=573,,PLANTSEARCH=44,,
Edgeworthia chrysantha,9.98333,9,13.6972,28.65,4.31667,1298.75,166.25,FALSE,GBIF_CURRENT=69,,PLANTSEARCH=88,,
Edraianthus graminifolius,9.98333,9,7.18611,21.95,-0.0166667,845,156,FALSE,GBIF_CURRENT=325,,PLANTSEARCH=54,,
Elaeagnus commutata,9.98333,9,5.57083,23.175,-3.42083,619,106.75,FALSE,GBIF_CURRENT=4888,,PLANTSEARCH=65,,
Elliottia bracteata,9.98333,9,5.975,22.2,-2,1251,191.5,FALSE,GBIF_CURRENT=487,,PLANTSEARCH=7,,
Elliottia pyroliflora,9.98333,9,6.85903,20.125,1.30417,1478.5,183.75,FALSE,GBIF_CURRENT=1179,,PLANTSEARCH=7,,
Elmera racemosa,9.98333,9,4.77361,20.275,-1.60417,1564.75,177,FALSE,GBIF_CURRENT=216,,PLANTSEARCH=19,,
Elymus magellanicus,9.98333,9,7.54446,19.25,2.99583,599,109.75,FALSE,GBIF_CURRENT=17,,PLANTSEARCH=14,,
Empetrum nigrum,9.98333,9,6.5375,21.5,-0.466668,785,142.5,FALSE,GBIF_CURRENT=698,,PLANTSEARCH=64,,
Empetrum rubrum,9.98333,9,7.04167,18.9,2.70833,712.25,122,FALSE,GBIF_CURRENT=698,,PLANTSEARCH=18,,
Enkianthus perulatus,9.98333,9,13.2688,27.925,4.225,1265.25,187.5,FALSE,GBIF_CURRENT=182,,PLANTSEARCH=69,,
Ephedra equisetina,9.98333,9,7.325,25.8,-3.175,553,81.5,FALSE,GBIF_CURRENT=334,,PLANTSEARCH=56,,
Ephedra foeminea,9.98333,9,13.7903,27.35,6.025,631,75,FALSE,GBIF_CURRENT=2721,,PLANTSEARCH=25,,
Ephedra frustillata,9.98333,9,8.32222,21.35,2.25833,442,85.75,FALSE,GBIF_CURRENT=85,,PLANTSEARCH=11,,
Ephedra gerardiana,9.98333,9,3.72361,20.6,-3.81667,521.5,85.5,FALSE,GBIF_CURRENT=31,,PLANTSEARCH=32,,
Ephedra monosperma,9.98333,9,2.5625,23.6,-8.25833,535.5,82,FALSE,GBIF_CURRENT=189,,PLANTSEARCH=26,,
Epilobium canum,9.98333,9,14.5445,27.25,9.06667,581,21,FALSE,GBIF_CURRENT=9356,,PLANTSEARCH=38,,
Epimedium acuminatum,9.98333,9,14.4264,27.15,5.55417,1057,113.25,FALSE,GBIF_CURRENT=61,,PLANTSEARCH=45,,
Epimedium baiealiguizhouense,9.98333,9,14.6542,27.2,5.25,1026.25,119.5,FALSE,PLANTSEARCH=1,GBIF_CURRENT=2,,,
Epimedium davidii,9.98333,9,13.1736,25.525,4.68333,954.75,102.75,FALSE,GBIF_CURRENT=51,,PLANTSEARCH=42,,
Epimedium dolichostemon,9.98333,9,13.1951,26,4.24167,1115.5,124.5,FALSE,GBIF_CURRENT=6,,PLANTSEARCH=17,,
Epimedium ecalcaratum,9.98333,9,14.8833,26.125,5.99583,1218,113,FALSE,GBIF_CURRENT=2,,PLANTSEARCH=7,,
